dataset_id,fold,checkpoint,sparsity,features,features_added,accuracy,roc_auc_score,prediction_probas,ground_truth
41157,0,random_forest,0.0,10000,0,0.7,0.7777777777777778,[0.65 0.35] [0.93 0.07] [0.89 0.11] [0.33 0.67] [0.43 0.57] [0.34 0.66] [0.18 0.82] [0.37 0.63] [0.78 0.22] [0.43 0.57] [0.43 0.57] [0.79 0.21] [0.24 0.76] [0.47 0.53] [0.62 0.38] [0.76 0.24] [0.65 0.35] [0.64 0.36] [0.82 0.18] [0.72 0.28],0 0 0 1 0 1 1 1 0 0 1 1 1 0 1 0 0 0 1 0
41157,1,random_forest,0.0,10000,0,0.85,0.9696969696969696,[0.4 0.6] [0.74 0.26] [0.34 0.66] [0.69 0.31] [0.7 0.3] [0.53 0.47] [0.35 0.65] [0.49 0.51] [0.59 0.41] [0.6 0.4] [0.29 0.71] [0.37 0.63] [0.81 0.19] [0.31 0.69] [0.66 0.34] [0.39 0.61] [0.75 0.25] [0.33 0.67] [0.75 0.25] [0.45 0.55],0 0 1 0 0 1 1 0 0 0 1 1 0 1 0 1 0 1 0 1
41157,2,random_forest,0.0,10000,0,0.75,0.9040404040404041,[0.66 0.34] [0.36 0.64] [0.48 0.52] [0.49 0.51] [0.72 0.28] [0.72 0.28] [0.78 0.22] [0.78 0.22] [0.37 0.63] [0.72 0.28] [0.51 0.49] [0.7 0.3] [0.51 0.49] [0.63 0.37] [0.8 0.2] [0.77 0.23] [0.43 0.57] [0.45 0.55] [0.6 0.4] [0.84 0.16],0 1 0 1 0 0 0 0 1 0 0 1 1 1 0 0 1 1 1 0
41157,3,random_forest,0.0,10000,0,0.85,0.9292929292929293,[0.52 0.48] [0.52 0.48] [0.45 0.55] [0.33 0.67] [0.67 0.33] [0.51 0.49] [0.22 0.78] [0.63 0.37] [0.28 0.72] [0.65 0.35] [0.66 0.34] [0.38 0.62] [0.45 0.55] [0.61 0.39] [0.22 0.78] [0.75 0.25] [0.88 0.12] [0.37 0.63] [0.26 0.74] [0.28 0.72],0 0 0 1 0 1 1 0 0 0 0 1 1 0 1 0 0 1 1 1
41157,4,random_forest,0.0,10000,0,0.7,0.8333333333333334,[0.25 0.75] [0.47 0.53] [0.57 0.43] [0.7 0.3] [0.33 0.67] [0.54 0.46] [0.67 0.33] [0.31 0.69] [0.83 0.17] [0.43 0.57] [0.89 0.11] [0.46 0.54] [0.79 0.21] [0.33 0.67] [0.48 0.52] [0.34 0.66] [0.74 0.26] [0.82 0.18] [0.33 0.67] [0.51 0.49],1 0 0 1 1 0 0 0 0 1 0 0 0 1 0 1 0 0 1 1
41157,0,random_forest,0.0,20000,10000,0.7,0.6414141414141413,[0.52 0.48] [0.78 0.22] [0.74 0.26] [0.35 0.65] [0.47 0.53] [0.39 0.61] [0.34 0.66] [0.37 0.63] [0.7 0.3] [0.33 0.67] [0.55 0.45] [0.68 0.32] [0.34 0.66] [0.53 0.47] [0.72 0.28] [0.6 0.4] [0.64 0.36] [0.59 0.41] [0.74 0.26] [0.61 0.39],0 0 0 1 0 1 1 1 0 0 1 1 1 0 1 0 0 0 1 0
41157,1,random_forest,0.0,20000,10000,0.65,0.7929292929292929,[0.4 0.6] [0.76 0.24] [0.34 0.66] [0.67 0.33] [0.64 0.36] [0.54 0.46] [0.49 0.51] [0.46 0.54] [0.43 0.57] [0.54 0.46] [0.49 0.51] [0.42 0.58] [0.73 0.27] [0.5 0.5] [0.64 0.36] [0.53 0.47] [0.67 0.33] [0.42 0.58] [0.75 0.25] [0.5 0.5],0 0 1 0 0 1 1 0 0 0 1 1 0 1 0 1 0 1 0 1
41157,2,random_forest,0.0,20000,10000,0.7,0.6212121212121212,[0.56 0.44] [0.43 0.57] [0.41 0.59] [0.47 0.53] [0.67 0.33] [0.65 0.35] [0.76 0.24] [0.66 0.34] [0.49 0.51] [0.63 0.37] [0.42 0.58] [0.67 0.33] [0.54 0.46] [0.71 0.29] [0.7 0.3] [0.65 0.35] [0.45 0.55] [0.44 0.56] [0.72 0.28] [0.76 0.24],0 1 0 1 0 0 0 0 1 0 0 1 1 1 0 0 1 1 1 0
41157,3,random_forest,0.0,20000,10000,0.75,0.7727272727272727,[0.54 0.46] [0.49 0.51] [0.38 0.62] [0.4 0.6] [0.76 0.24] [0.67 0.33] [0.4 0.6] [0.63 0.37] [0.37 0.63] [0.68 0.32] [0.61 0.39] [0.49 0.51] [0.38 0.62] [0.59 0.41] [0.41 0.59] [0.75 0.25] [0.72 0.28] [0.52 0.48] [0.43 0.57] [0.37 0.63],0 0 0 1 0 1 1 0 0 0 0 1 1 0 1 0 0 1 1 1
41157,4,random_forest,0.0,20000,10000,0.8,0.7239583333333334,[0.35 0.65] [0.37 0.63] [0.58 0.42] [0.76 0.24] [0.43 0.57] [0.42 0.58] [0.67 0.33] [0.4 0.6] [0.73 0.27] [0.43 0.57] [0.76 0.24] [0.58 0.42] [0.62 0.38] [0.4 0.6] [0.5 0.5] [0.41 0.59] [0.59 0.41] [0.67 0.33] [0.42 0.58] [0.47 0.53],1 0 0 1 1 0 0 0 0 1 0 0 0 1 0 1 0 0 1 1
41157,0,random_forest,0.0,30000,20000,0.65,0.6666666666666666,[0.57 0.43] [0.72 0.28] [0.69 0.31] [0.4 0.6] [0.46 0.54] [0.58 0.42] [0.44 0.56] [0.41 0.59] [0.7 0.3] [0.39 0.61] [0.61 0.39] [0.66 0.34] [0.41 0.59] [0.51 0.49] [0.53 0.47] [0.67 0.33] [0.66 0.34] [0.58 0.42] [0.7 0.3] [0.61 0.39],0 0 0 1 0 1 1 1 0 0 1 1 1 0 1 0 0 0 1 0
41157,1,random_forest,0.0,30000,20000,0.7,0.8232323232323232,[0.47 0.53] [0.61 0.39] [0.42 0.58] [0.56 0.44] [0.58 0.42] [0.62 0.38] [0.53 0.47] [0.54 0.46] [0.51 0.49] [0.6 0.4] [0.46 0.54] [0.54 0.46] [0.68 0.32] [0.55 0.45] [0.71 0.29] [0.52 0.48] [0.65 0.35] [0.48 0.52] [0.74 0.26] [0.45 0.55],0 0 1 0 0 1 1 0 0 0 1 1 0 1 0 1 0 1 0 1
41157,2,random_forest,0.0,30000,20000,0.8,0.8131313131313131,[0.51 0.49] [0.48 0.52] [0.56 0.44] [0.38 0.62] [0.53 0.47] [0.55 0.45] [0.71 0.29] [0.69 0.31] [0.44 0.56] [0.63 0.37] [0.53 0.47] [0.55 0.45] [0.42 0.58] [0.69 0.31] [0.76 0.24] [0.69 0.31] [0.53 0.47] [0.41 0.59] [0.67 0.33] [0.78 0.22],0 1 0 1 0 0 0 0 1 0 0 1 1 1 0 0 1 1 1 0
41157,3,random_forest,0.0,30000,20000,0.7,0.803030303030303,[0.62 0.38] [0.57 0.43] [0.48 0.52] [0.49 0.51] [0.64 0.36] [0.65 0.35] [0.52 0.48] [0.56 0.44] [0.42 0.58] [0.69 0.31] [0.61 0.39] [0.47 0.53] [0.5 0.5] [0.63 0.37] [0.44 0.56] [0.68 0.32] [0.76 0.24] [0.42 0.58] [0.54 0.46] [0.47 0.53],0 0 0 1 0 1 1 0 0 0 0 1 1 0 1 0 0 1 1 1
41157,4,random_forest,0.0,30000,20000,0.65,0.6666666666666666,[0.45 0.55] [0.41 0.59] [0.58 0.42] [0.67 0.33] [0.43 0.57] [0.46 0.54] [0.67 0.33] [0.44 0.56] [0.7 0.3] [0.44 0.56] [0.72 0.28] [0.6 0.4] [0.64 0.36] [0.52 0.48] [0.36 0.64] [0.47 0.53] [0.53 0.47] [0.7 0.3] [0.51 0.49] [0.49 0.51],1 0 0 1 1 0 0 0 0 1 0 0 0 1 0 1 0 0 1 1
